anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA"
164,Mononoke Hime (Princess Mononoke),Princess Mononoke,もののけ姫,Mononoke Hime
263,Hajime no Ippo (Fighting Spirit),Fighting Spirit,はじめの一歩 THE FIGHTING!,"The First Step, Hajime no Ippo: The Fighting"
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,
24701,Mushishi Zoku Shou 2nd Season,,蟲師 続章,Mushishi Zoku Shou 2nd Season
36838,Gintama.: Shirogane no Tamashii-hen,,銀魂. 銀ノ魂篇,Gintama.: Silver Soul Arc
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,昭和元禄落語心中～助六再び篇～,"Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover's Suicide Through Rakugo 2nd Season"
23273,Shigatsu wa Kimi no Uso (Your Lie in April),Your Lie in April,四月は君の嘘,
31758,Kizumonogatari III: Reiketsu-hen,,傷物語〈Ⅲ冷血篇〉,"Koyomi Vamp, Kizumonogatari Part 3"
28891,Haikyuu!! Second Season (Haikyu!! 2nd Season),Haikyu!! 2nd Season,ハイキュー!! セカンドシーズン,Haikyuu!! Second Season
34599,Made in Abyss,Made in Abyss,メイドインアビス,
199,Sen to Chihiro no Kamikakushi (Spirited Away),Spirited Away,千と千尋の神隠し,Sen and Chihiro's Spiriting Away
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,コードギアス 反逆のルルーシュ 続編,"Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,Haikyuu!! Third Season
918,Gintama,Gintama,銀魂,"Gin Tama, Silver Soul, Yorinuki Gintama-san"
4181,Clannad: After Story (Clannad ~After Story~),Clannad ~After Story~,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,
1535,Death Note,Death Note,デスノート,DN
12365,Bakuman. 3rd Season (Bakuman.),Bakuman.,バクマン。,Bakuman Season 3
19,Monster,Monster,モンスター,
31757,Kizumonogatari II: Nekketsu-hen (Kizumonogatari Part 2: Nekketsu),Kizumonogatari Part 2: Nekketsu,傷物語〈Ⅱ熱血篇〉,"Koyomi Vamp, Kizumonogatari Part 2"
28957,Mushishi Zoku Shou: Suzu no Shizuku,,蟲師 続章: 鈴の雫,"Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells"
11665,Natsume Yuujinchou Shi (Natsume's Book of Friends Season 4),Natsume's Book of Friends Season 4,夏目友人帳 肆,"Natsume Yuujinchou Four, Natsume Yuujinchou 4, Natsume Yujincho 4"
7311,Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,涼宮ハルヒの消失,"The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie"
30276,One Punch Man,One Punch Man,ワンパンマン,"One Punch-Man, One-Punch Man, OPM"
431,Howl no Ugoku Shiro (Howl's Moving Castle),Howl's Moving Castle,ハウルの動く城,
5258,Hajime no Ippo: New Challenger (Fighting Spirit: New Challenger),Fighting Spirit: New Challenger,はじめの一歩 新シリーズ,"Hajime no Ippo New Series, Hajime no Ippo Season II, Hajime no Ippo 2"
2001,Tengen Toppa Gurren Lagann (Gurren Lagann),Gurren Lagann,天元突破グレンラガン,"Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL"
34591,Natsume Yuujinchou Roku (Natsume's Book of Friends Season 6),Natsume's Book of Friends Season 6,夏目友人帳 陸,"Natsume Yuujinchou Season 6, Natsume's Book of Friends Six"
457,Mushishi (Mushi-Shi),Mushi-Shi,蟲師,
245,Great Teacher Onizuka,Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,GTO
33674,No Game No Life: Zero,,ノーゲーム・ノーライフ ゼロ,"NGNL Zero, NGNL the Movie"
33486,Boku no Hero Academia 2nd Season (My Hero Academia 2),My Hero Academia 2,僕のヒーローアカデミア 2ndシーズン,
12355,Ookami Kodomo no Ame to Yuki (Wolf Children),Wolf Children,おおかみこどもの雨と雪,The Wolf Children Ame and Yuki
21939,Mushishi Zoku Shou (MUSHI-SHI -Next Passage-),MUSHI-SHI -Next Passage-,蟲師 続章,"Mushi-shi Zoku Shou, Mushishi: The Next Chapter"
17074,Monogatari Series: Second Season,Monogatari Series: Second Season,〈物語〉シリーズ セカンドシーズン,"Nekomonogatari: Shiro, Kabukimonogatari: Mayoi Jianshi, Otorimonogatari, Onimonogatari, Koimonogatari"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,"Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence"
1575,Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,
35247,Owarimonogatari 2nd Season (Owarimonogatari Second Season),Owarimonogatari Second Season,終物語,End Story 2nd Season
34096,Gintama. (Gintama Season 5),Gintama Season 5,銀魂。,Gintama (2017)
28851,Koe no Katachi (A Silent Voice),A Silent Voice,聲の形,"The Shape of Voice, A Silent Voice: The Movie"
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,,劇場版 銀魂 完結篇 万事屋よ永遠なれ,"Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2"
15417,Gintama': Enchousen (Gintama: Enchousen),Gintama: Enchousen,銀魂' 延長戦,"Gintama' (2012), Gintama' Overdrive, Kintama"
35180,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),March Comes In Like A Lion 2nd Season,3月のライオン 第2シリーズ,Sangatsu no Lion Second Season
11061,Hunter x Hunter (2011) (Hunter x Hunter),Hunter x Hunter,HUNTER×HUNTER ハンターハンター,HxH (2011)
9969,Gintama' (Gintama Season 2),Gintama Season 2,銀魂',Gintama (2011)
820,Ginga Eiyuu Densetsu (Legend of the Galactic Heroes),Legend of the Galactic Heroes,銀河英雄伝説,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel"
9253,Steins;Gate,Steins;Gate,シュタインズ・ゲート,シュタゲ
28977,Gintama° (Gintama Season 4),Gintama Season 4,銀魂°,Gintama' (2015)
30484,Steins;Gate 0,,シュタインズ・ゲート ゼロ,"Steins,Gate Zero"
32281,Kimi no Na wa. (Your Name.),Your Name.,君の名は。,
anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
17265,Log Horizon,Log Horizon,ログ・ホライズン,
