anime_id,related_anime_id,related_anime_title
1,1 | 5 | 4037 | 17205,Cowboy Bebop | Cowboy Bebop: The Movie | Cowboy Bebop Session XX | Ein's Summer Vacation
5,1 | 5 | 4037 | 17205,Cowboy Bebop | Cowboy Bebop: The Movie | Cowboy Bebop Session XX | Ein's Summer Vacation
6,6 | 4106,Trigun | Trigun - Badlands Rumble
7,7,Witch Hunter Robin
8,8 | 1123,Beet the Vandel Buster | 
15,15 | 1317 | 6418, | The Illusionary Golden Bowl | 
16,16 | 644 | 1142,Honey and Clover | Honey and Clover Specials | Honey and Clover II
17,17,
18,18 | 185 | 186 | 187 | 821 | 822 | 3931 | 5228 | 12725 | 15059 | 19613 | 22507 | 28881 | 30952, | Initial D First Stage | Initial D Second Stage |  |  |  |  | Initial D Extra Stage 2 |  |  | Initial D Legend 1 Awakening |  | Initial D Legend 2 Racer | 
19,19 | 1109,Monster | 
20,20 | 442 | 594 | 761 | 936 | 1074 | 1735 | 2144 | 2248 | 2472 | 4134 | 4437 | 6325 | 7367 | 8246 | 10589 | 12979 | 13667 | 16870 | 28755 | 32365 | 34566 | 35072,Naruto | Naruto the Movie: Ninja Clash in the Land of Snow | Naruto: The Lost Story - Mission: Protect the Waterfall Village | Naruto: Find the Crimson Four-leaf Clover! | Naruto the Movie 2: Legend of the Stone of Gelel |  | Naruto: Shippuden | Naruto the Movie 3: Guardians of the Crescent Moon Kingdom | Hidden Leaf Village Grand Sports Festival | Naruto: Shippuden the Movie | Naruto Shippuden: Konoha Gakuen - Special | Naruto: Shippuden the Movie 2 -Bonds- |  |  |  |  | NARUTO Spin-Off: Rock Lee & His Ninja Pals | Road to Ninja: Naruto the Movie | The Last: Naruto the Movie | Boruto: Naruto the Movie |  | Boruto: Naruto Next Generations | 
21,21 | 459 | 460 | 461 | 462 | 463 | 464 | 465 | 466 | 1094 | 1237 | 1238 | 2020 | 2107 | 2385 | 2386 | 2490 | 2680 | 4155 | 5252 | 8171 | 8740 | 9999 | 12001 | 12859 | 15323 | 16239 | 16287 | 16468 | 19123 | 25161 | 28683 | 31289 | 31490 | 32051 | 32437 | 33338 | 33606 | 34165 | 36215 | 36239,"One Piece |  | One Piece: Clockwork Island Adventure | One Piece: Chopper Kingdom of Strange Animal Island | One Piece: Dead End | One Piece: The Curse of the Sacred Sword | One Piece: Baron Omatsuri and the Secret Island |  | One Piece: Defeat the Pirate Ganzack! |  | One Piece Special: Open Upon the Great Sea! A Father's Huge, HUGE Dream! |  |  | One Piece The Movie: Episode of Alabasta - The Desert Princess and the Pirates | One Piece: Django's Dance Carnival |  |  |  | One Piece Film Strong World | One Piece: Romance Dawn Story | One Piece Recap |  |  |  | One Piece Film Z |  |  |  |  |  |  |  |  |  |  |  |  | ONE PIECE FILM GOLD 〜episode 0〜 711ver. |  |  | "
22,22 | 814 | 815 | 995 | 1190 | 2752 | 4053 | 5751 | 5996 | 6749 | 6999 | 10276 | 10573 | 10731 | 10862 | 11371 | 13073 | 13245 | 21755 | 29697,"The Prince of Tennis | Prince of Tennis: Atobe Kara no Okurimono | The Prince of Tennis: The Two Samurai, The First Game | Prince of Tennis: National Championship Chapter | Prince of Tennis: A Day of the Survival Mountain |  |  |  |  |  | Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus |  |  |  |  | The Prince of Tennis II |  | The Prince of Tennis II Specials | The Prince of Tennis II OVA vs Genius10 | "
23,23 | 1771 | 7793 | 10346 | 34307, | Ring ni Kakero 1 Episode: The Pacific War |  |  | 
24,24 | 517 | 846 | 4015,School Rumble |  | School Rumble 2nd Semester | School Rumble 3rd Semester
25,25,Desert Punk
26,26,Texhnolyze
27,27,Trinity Blood
28,28,Yakitate!! Japan
29,29,
30,30 | 31 | 32 | 4130 | 23023 | 28149,Neon Genesis Evangelion | Neon Genesis Evangelion: Death & Rebirth | Neon Genesis Evangelion: The End of Evangelion |  |  | Japan Anima(tor)'s Exhibition
31,30 | 31 | 32 | 4130,Neon Genesis Evangelion | Neon Genesis Evangelion: Death & Rebirth | Neon Genesis Evangelion: The End of Evangelion | 
32,30 | 31 | 32 | 4130,Neon Genesis Evangelion | Neon Genesis Evangelion: Death & Rebirth | Neon Genesis Evangelion: The End of Evangelion | 
33,33 | 10218 | 12113 | 12115 | 32379 | 34055 | 35009 | 35676,Berserk | Berserk: The Golden Age Arc I - The Egg of the King | Berserk: The Golden Age Arc II - The Battle for Doldrey | Berserk: The Golden Age Arc III - The Advent | Berserk | Berserk |  | Berserk: Recollections of the Witch
43,43 | 467 | 468 | 801 | 1335 | 1566 | 2448 | 2449 | 3447 | 3485 | 10870 | 10947 | 10948 | 10949 | 27411 | 29325,Ghost in the Shell | Ghost in the Shell: Stand Alone Complex | Ghost in the Shell 2: Innocence | Ghost in the Shell: Stand Alone Complex 2nd GIG | Ghost in the Shell: Stand Alone Complex: Tachikomatic Days | Ghost in the Shell: Stand Alone Complex - Solid State Society | Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven | Ghost in the Shell: Stand Alone Complex - The Laughing Man | Ghost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days | Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikomatic Days | Ghost in the Shell: Stand Alone Complex: Tachikomatic Days | Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikomatic Days | Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikomatic Days | Ghost in the Shell: Stand Alone Complex: Tachikomatic Days Fan Disc | Ghost in the Shell: The New Movie | Ghost in the Shell: Arise - Alternative Architecture
44,44 | 45 | 46 | 401 | 4664 | 9716 | 10334 | 12067,Samurai X: Trust and Betrayal | Rurouni Kenshin | Samurai X: The Motion Picture | Samurai X: Reflection |  |  | Samurai X Recap | Samurai X Special
45,44 | 45 | 46 | 401 | 4664 | 9716 | 10334 | 12067 | 37537,Samurai X: Trust and Betrayal | Rurouni Kenshin | Samurai X: The Motion Picture | Samurai X: Reflection |  |  | Samurai X Recap | Samurai X Special
46,44 | 45 | 46 | 401 | 4664 | 9716 | 10334 | 12067,Samurai X: Trust and Betrayal | Rurouni Kenshin | Samurai X: The Motion Picture | Samurai X: Reflection |  |  | Samurai X Recap | Samurai X Special
47,47,AKIRA
48,48 | 298 | 299 | 454 | 873 | 1143 | 1487 | 1994 | 2928 | 3269 | 4469 | 9332 | 11375,.hack//Sign | .hack//Legend Of The Twilight | .hack//Liminality | .hack//Gift | .hack//roots |  |  | .hack//Legend of the Twilight Offline Meeting Special |  | .hack//G.U. Trilogy | .hack//G.U. Trilogy: Parody Mode |  | 
49,49 | 304 | 9611,Oh! My Goddess | Ah! My Goddess: The Movie | 
50,50 | 303 | 880 | 1003 | 2198 | 3090 | 9611,Ah! My Goddess | Oh! My Goddess: The Adventures of Mini-Goddess | Ah! My Goddess: Flights of Fancy |  | Ah! My Goddess: Flights of Fancy Specials |  | 
51,51,Angel Sanctuary
52,52,Battle Doll Angelic Layer
53,53 | 394 | 3266 | 6709,Ai Yori Aoshi | Ai Yori Aoshi: Enishi |  | Ai Yori Aoshi: Speaking of Dreams
54,54 | 2969, | Appleseed: Ex Machina
55,55,
56,56,
57,57,Beck: Mongolian Chop Squad
58,58 | 1380,Blue Gender | Blue Gender: The Warrior
59,59 | 596 | 1311,Chobits | Chobits: Chibits - Sumomo and Kotoko Deliver | Chobits: Hibiya and Kotoko Chat
60,60 | 4450,Chrono Crusade | Chrono Crusade: Azmaria's Lessons
61,61,D.N.Angel
62,62 | 291 | 2595 | 3627 | 4508 | 5216 | 9353 | 9393 | 14827 | 17020,D.C.~Da Capo~ | D.C.S.S. ~Da Capo Second Season~ |  |  | D.C.S.S: Da Capo Second Season Omake |  |  |  |  | 
63,63 | 1817,DearS | 
64,64 | 65 | 1719 | 2237,Rozen Maiden | Rozen Maiden: Träumend | Rozen Maiden: Ouvertüre | 
65,64 | 65 | 1719,Rozen Maiden | Rozen Maiden: Träumend | Rozen Maiden: Ouvertüre
66,66 | 659 | 1593,Azumanga Daioh: The Animation |  | Azumanga Web Daioh
67,67 | 35964,Basilisk | Basilisk: The Ouka Ninja Scrolls
